id,question,correctanswer,answera,answerb,answerc,answerd
101070,student was washing laboratory glassware warm soapy ring he wearing slipped off his finger safety procedure should followed,d,wash laboratory glassware cold,wear gloves during laboratory experiments,do soap washing any laboratory glassware,remove jewelry before beginning any laboratory experiments
101071,toni got cut her arm while playing softball game few weeks later healed responsible repairing,d,signals transported nerve,exchange oxygen lungs,transport waste blood,reproduction skin
101072,an impulse neuron,c,moves outside inside axon,moves inside outside axon,movement action potential along axon,rate movement neuron
101073,skin largest organ human why considered,c,made,acts barrier,made tissues,part organism
101074,situation speciation occur,d,large number population exposed viral infection,few members population develop mutations somatic,large number population migrates over great distance,few members population isolated others
101075,processes important part star formation,a,nuclear fusion,nuclear fission,molecular fusion,molecular fission
101076,scientist do reduce bias experiment,d,compare data table form sentence,make conclusions data experiment,state one hypothesis positively negatively,scientist research group review results
101077,researchers identified lethal allele population endangered sea turtles order predict frequency homozygous recessive genotypes,d,dna sequencing,genetic fingerprinting,gel electrophoresis,hardy weinberg equation
101078,group students investigated effect water temperature gill movements goldfish tested temperatures ° c degree intervals data showed decreased average number per minute also type display show relationship,a,bar graph,pie chart,line graph,tally chart
101079,large polymer molecules constructed relatively small known monomers order classified specifically crystalline solid statements must apply,c,polymer must constructed few monomers,polymer must immiscible blend,monomers must joined together repeating patterns,monomers must joined together repeating patterns
101080,primary function doorbell circuit convert electrical,a,sound,motion,radiant,chemical
101081,systems involved inhaling oxygen exhaling dioxide,c,endocrine skeletal,excretory nervous,circulatory respiratory,digestive reproductive
101082,scientist states group primates undergone genetic drift study subject supported,c,selection pressures primates environment,mutagens primates environment,parent population primates become separated,population distantly related primate region
101083,plasma membrane cellular made molecules consist primarily,a,hydrogen,silicon,hydrogen oxygen,carbon
101084,contain dna rna subunits,d,simple sugars,amino acids,carbohydrates,nucleotides
101085,secondary pollutants produced environment reactions involving primary emitted chemicals pollutant,d,monoxide co,nitrogen oxide no,methane ch4,ozone o3
101086,volcanoes develop due interactions tectonic plates plate least produce volcanic activity,d,diverging oceanic plates,converging oceanic plates,diverging continental plates,converging continental plates
101087,some students hot plate heat l water ° c boiling point recorded minute until began boil provides appropriate way represent data,c,bar graph on y axis x,bar graph on y axis x,line graph on y axis x,line graph on y axis x
101088,stars similar,c,red giant star arcturus,white dwarf star sirius b,main sequence star alpha mensae,blue supergiant star rigel
101089,form stored battery,a,chemical,sound,light,heat
101090,cells contain organelle within animal,a,chloroplast,mitochondria,chlorophyll,membrane
101091,form asexual reproduction,c,hermaphroditic reproduction,internal fertilization,mitosis,pollination
101092,concept conservation apply reactions,a,reactants products exactly atoms,reactants products exactly molecules,change matter equal,matter small percentage total
101093,you make observation hear crickets often summer do winter hypotheses based,d,there crickets summer winter,crickets chirp often higher,crickets mate summer chirping part mating ritual,above
101094,house built desert where no electricity very little wind action could lead operating electrical appliances cause least environmental pollution,b,constructing small hydroelectric,placing solar panels roof house,using gasoline generators,burning coal wood
101095,ferromagnetic molecules liquid igneous rocks orient themselves align earth magnetic field when cools set place poles swap positions periodically so different periods orientations finding support modern plate tectonic theory,d,bands ferromagnetic molecules alternating orientations asymmetrical either side divergent boundary,bands ferromagnetic molecules alternating orientations asymmetrical either side convergent boundary,bands ferromagnetic molecules alternating orientations symmetrical either side convergent boundary,bands ferromagnetic molecules alternating orientations symmetrical either side divergent boundary
101096,groups scientists studying chemicals could eliminate malaria important reason accurate record keeping,d,accurate records aid groups working together future projects,accuracy important because research kept confidential,journals publish research unless records accurate,reproduction verification results relies accuracy research records
101097,fats specialized lipid molecules enzymes protein do functions differ,d,fats structural building materials while enzymes transportation molecules,fats provide support while enzymes lower ph gastric fluids,fats regulate functions while enzymes denature invasive bacteria,fats storage molecules while enzymes catalytic
101098,hormone insulin secreted pancreas activity trigger levels circulating blood,b,driving,eating,jogging,sleeping
101099,did arrive theory plate tectonics,a,determining age lava rising ocean ridges,determining composition limestone deposits,determining rate weathering mountain ranges,determining type sedimentary formed land
101100,human produces motion changing energy mechanical describes happens,b,total increases,total constant,destroyed through motion,increases
101101,herbicides farmers control weeds manage crops without weeding hand continuous lead decreased effectiveness this example herbicide resistance occur,c,makeup herbicide changes over,weeds mutate until herbicide no longer effective,surviving weeds reproduce population grows,herbicide attracts weed area
101102,foods highest polysaccharides,b,broccoli,potatoes,cheese,fish
101103,functions topographic map,d,gauge local rainfall amounts,study area geological history,predict severity earthquakes,show surface features area
101104,subatomic particles least,c,proton,neutron,electron,all
101105,true about milky way galaxy,d,milky way doesn't definite shape,milky way contains star called,milky way galaxy universe,milky way billions galaxies universe
101106,concept supports endosymbiotic origin complex eukaryotic double membrane structures,a,mitochondria chloroplasts arise preexisting,mitochondria chloroplasts arise preexisting endomembrane systems,mitochondria chloroplasts synthesized nucleus,mitochondria chloroplasts synthesized ribosomes
101107,property interior keeps innermost part solid state,b,relatively low,extremely high pressure,high rate heat flow,low rate radioactive decay
101108,characteristic affected interactions environment,a,weight,eye color,blood type,handedness
101109,principle uniformitarianism states landscape earth formed slowly over long period occurrence least supported,b,development,volcanic eruption,plate movement,fossil formation
101110,discarded electronic devices such outdated computers phones contain materials toxic environment explains why humans continue technologies,d,electronics become less expensive over,some areas recycling programs electronics,industries produce electronics help economy,humans value benefits devices over cost
101111,florida large supply phosphate ancient seas deposited millions years ago contains remains animals were layers sea floor type did become,d,intrusive igneous,extrusive igneous,clastic sedimentary,organic sedimentary
101112,possible disadvantage using flowing produce electricity,a,ecosystem damage loss land,reduced dioxide emission,suitable industrial,creates reservoirs
101113,cells including hair muscle skin blood developmentally traced back single,c,brain,sperm,fertilized egg,strand dna
101114,during scientific investigation students grow crystals dissolving excess epsom salt magnesium sulfate water string placed solution allowed evaporate as evaporates form made,c,long chain repeating stringlike magnesium sulfate molecules,repeating pattern table salt nacl molecules,repeating pattern alternating magnesium sulfate ions,long chain repeating stringlike magnesium sulfate atoms
101115,explains why enzymes bind specific substrates,c,an enzyme inhibited so active site altered,an enzyme folds differently presence substrates,amino acid sequences cause variations shapes enzyme active sites,enzyme substrate binding based size so large enzymes bind substrates
101116,student prepares report gradual environmental changes topic,b,forest fires mountain regions,succession transforms grassland forest,decomposition desert rodent,flash flooding country area
101117,describes size protons neutrons electrons atom,b,protons neutrons electrons size,protons neutrons very large compared electrons,protons neutrons very small compared electrons,protons electrons very large compared neutrons
101118,some people proposed asteroids asteroid belt mars jupiter could source rare metals hard obtain technology need developed before type mining were possible,a,life support systems operate extended periods without supplies,telescopes large enough see individual asteroids asteroid belt,powerful lasers melt metals so purified space,communication systems permit space
101119,some forests develop after farmland abandoned grasses may overtaken pine trees eventually replaced hardwood during process also changes form weathering,b,water intake trees reduces content,recycled organic matter trees lowers ph,rocks broken apart tree roots add texture,increased shade tree canopy lowers
101120,researcher determines cell flexible wall composed peptidoglycan this observation narrows possible classifications taxonomic group,b,archaea,bacteria,fungi,plants
101121,preserved remains ancient allow determine structure called,d,adaptations,common ancestors,organs,fossils
101122,made up large collection stars gas dust held together gravity,a,galaxy,planet,sun,our solar
101123,radioactive decay heat source deep within earth affect motion,a,density molten rock decreases heated results being pushed above material greater,heat radiates all directions thermal push forces surrounding material move away,volume material decreases decays surrounding molten moves toward center fill void,heat breaks surrounding rocks allows subsurface liquids move slow movement nearby
101124,provides evidence distribution oceans changed over,d,hot spots ocean floors,seismic activity along plate boundaries,sediment buildup continental slope,marine fossils land masses
101125,falling rising air molecules inside clouds believed factors formation lightning kind transfer taking place cause weather phenomenon,d,electrical thermal,thermal mechanical,mechanical,mechanical electrical
101126,burning fossil fuels provides main source many parts world disadvantage using,a,burning fossil fuels form greenhouse gases,fossil fuels production plastics,burning fossil fuels power automobiles,fossil fuels shallow depths underground
101127,plumes vapor been observed rising southern polar region enceladus moons saturn team proposed explanation developed model also published calculations based purpose future research,b,testing hypothesis,evaluating similar events,mapping routes exploration,checking validity observations
101128,kevin observing sky clear night with unaided eye he able see venus mars jupiter saturn why appear brighter planets,a,reflects sunlight toward,hotter planets,larger planets,closest planet
101129,salivary amylase enzyme human digests carbohydrates food when mixed saliva enters stomach action slows dramatically causes stop digesting,a,ph stomach lower mouth,concentration decreases stomach,increases stomach,mixed mouth stomach
101130,at beginning school year city engineers investigated traffic near concluded current signs were sufficient control years later reinvestigated because number homes being built area stoplights should placed intersection describes investigations,d,when engineers replicate investigations must state hypothesis,investigations should repeated every years ensure accuracy data,engineers cannot make valid conclusions end initial investigations,conclusions drawn data gathered
101131,if scientist wants medical community revise old information research findings treatment disease present,c,school science fair,newspaper article,physicians conference,television commercial
101132,tissues organs systems allow them function complete parts organ,a,leaves,spores,root hairs,chlorophyll molecules
101133,on february student observes moon cannot seen clear night sky date able see again,d,february,march,march,march
101134,section do earthquakes happen,a,crust,mantle,inner core,outer core
101135,statements describes possible environmental consequence constructing large scale wind farm generate electricity,b,wind farms alter regional climate,wind farms disrupt migrating wildlife,wind farms renewable source,wind farms generate direct current electricity
101136,positive outcomes occur population experiences geographic isolation,c,interbreed,encounter genetic equilibrium,evolve,gene pool remain constant
101137,long take moon rotate axis,d,day,year,week,month
101138,organelle photosynthesis occur,a,chloroplast,ribosome,mitochondria,vacuole
101139,tool correctly matched function,c,endonuclease seals human gene interest bacterial plasmid,ligase isolates human gene interest,transformation introduces bacterial plasmid,gel electrophoresis amplifies human gene interest
101140,an organism such nematode worm may should classified being,d,virus,bacteria,unicellular,multicellular
101141,dr smith observing asteroids using telescope mount palomar observatory approximately distance appears much brighter others because,c,absorbing asteroids,generating asteroids,reflecting asteroids,denser asteroids
101142,way rainforests coral reefs ecosystems few,b,there prey predators,web stable lasting,often must compete,populations primary producers
101143,distance uranus kilometers appropriate unit measurement,b,year,astronomical unit,mile,meter
101144,changes abiotic factors environment impact biotic example situation,d,heavy rainfall increases erosion,melting glaciers cause sea levels rise,cold temperatures cause rocks weather,drought conditions competition among consumers
101145,pyramid explains why number decreases trophic level next,b,consumers lower level require top,consumers top level require lower,consumers feeding larger less,consumers feeding smaller less
101146,if fission theory moon formation true also about motion formative stages,b,early rotated axis much slowly today,early rotated axis much quickly today,early revolved around much slowly today,early revolved around much quickly today
101147,considered piece molecular evidence showing probable evolutionary relationship,a,similar amino acid sequences proteins,similar gill slits development,homologous bones limbs,both adapted environments flying
101148,an idea universe originated explosion supported repeated observations distant galaxies traveling away been tested repeatedly results,b,hypothesis,theory,law,fact
101149,if classroom experiment involves several unidentified solutions factor important maintaining safety during,c,classroom fairly cold,classroom poor lighting,classroom good ventilation,classroom carpet floors
101150,fur color snowshoe hare changes twice year summer has dark winter white adaptation help survive,d,white fur absorbs sunlight keeps hare warm,adaptation prevents predators detecting scent hare,dark fur reflects sunlight keeps hare being sunburned,adaptation allows hare blend environment hide predators
101151,provide evidence life could develop mars,d,atmospheric gases,surface temperatures,craters rocky surface,ice organic molecules
101152,charles walcott discovered formation called burgess shale canadian rocky mountains contained fossils lived million years ago discovery considered world most significant fossil discoveries today still trying classify some been for reason important communicate results his,c,theories about building were discovered,old civilization were able studied publications,were able look biologic history way,scientist researching genetics were given ideas experiments
101153,census data show human population doubled billion if continues double rate could reach year explains growth harm environment humans depend,b,gradually making up available,using resources faster replaced,changing matter cycles through ecosystem,increasing variety ecosystems supported
101154,meeting called symposium occurs every year share recent research about atmosphere this mainly serves purpose science,c,test research methods,develop questions about space research,discuss meaning discoveries,explain gas properties general public
101155,street maps examples dimensional models information cannot determined using basic map,d,distance place,directions such north south,names highways roads,elevations such distance above sea level
101156,factor explains why biomass decreases trophic level increases pyramid,a,some converted heat,survival rate gradually decreases,availability space decreases feeding levels,toxic chemicals get concentrated move up web
101157,bacterium reproduce quickly splitting two cells describes genetic make up resulting,a,genetic material identical,genetic material but identical,half genetic material grows size,half genetic material but then duplicates itself
101158,an abiotic factor influences living salt marsh,b,fish,water,predators,grasses
101159,an engineer measured takes sound travel through samples materials were identical shape size measurements made using ultrasonic waves frequency megahertz question trying answer,a,material sound travel fastest,material sound travel farthest,does frequency affect distance sound travels,does shape medium affect speed sound
101160,an archeologist looking fossils mountains she finds some shark teeth coral show mountain long ago,c,higher elevation,covered ice,under sea,part tropical forest
101161,why natural selection said act phenotype organism rather genotype,a,whose phenotype not adapted environment survive reproduce,organisms superior genotypes overrun inferior,phenotype individual controls genes expressed generation offspring,genotype individual directly influenced external environmental factors
101162,vehicle exhaust contains form pollution called particulate matter technologies being developed reduce produces less greatest impact aspect human health,b,heart health,respiratory health,rate birth defects,weight physical fitness
101163,determines health lake source freshwater,b,depth width,ph,location depth,depth
101164,vertebrates animals backbones reproduce,a,sexually,asexually,internal fertilization,through pollination
101165,safe practice laboratory investigation working chemicals,c,pouring unused chemicals down sink,mixing leftover chemicals container,wearing safety goggles working chemicals,returning unused chemicals original container
101166,water cycle describes continuous movement part directly responsible returning,c,condensation,evaporation,precipitation,transpiration
101167,as revolves around number daylight hours varies place location remain constant,c,north pole,prime meridian,equator,antarctica
101168,upgrade school reduce consumption nonrenewable resources,a,solar collection panels,high speed computers,wireless internet connections,biodegradable carpeting
101169,during fertilization half dna comes provided mother while father form n,c,sperm egg,ovary testicle,egg sperm,testicle ovary
101170,molecular retroviruses,c,reverse translation,translation,reverse transcription,transcription
101171,when car engine started gasoline mixed air burned heat sound products released as operates remains constant,d,masses compounds engine,heat engine,total gasoline,total
101172,as sample mercury changes state liquid solid atoms,a,move closer together less kinetic,move closer together kinetic,move farther apart less kinetic,move farther apart kinetic
101173,rays focused lens camera through,b,reflection,refraction,dispersion,diffraction
101174,an elephant multicellular organism weighs about pounds birth grow weigh much increases grows adult,b,size,number,amount,collection
101175,when too much fresh extracted underground source coastal region saltwater seep aquifer making unusable action reduces risk intrusion through good stewardship resources,c,building desalination convert nearby saltwater freshwater,creating impermeable barrier aquifer saltwater,conserving reducing consumption homes schools businesses,drilling wells individual homes instead relying municipal supplies
101176,n object space made ice dust gives off gas form tail orbits,b,asteroid,comet,meteor,nebula
101177,students studying classifications stars learned majority similar sun conclude knowing galaxy like,b,stars become black holes,stars main sequence,stars protostars,stars red giants
101178,major earthquakes caused,d,seasonal heating cooling surface,weathering surface,gravitational attraction moon,faulting crust
101179,organ responsible oxygen entering blood stream,d,nose,trachea,bronchi,lungs
101180,changes population size ecosystem directly determined,d,number births deaths,number producers,movement out,both c
101181,phrase describe asexual reproduction,a,requires parents,little variation offspring,type involved,duplicates genetic material
101182,dna molecules contain genetic information determines characteristics living organism do express,b,breaking down proteins within,directing protein synthesis,regulating storage cellular proteins,controlling movement protein molecules
101183,characteristic changes,d,state matter produced,some converted,some form given off,material formed
101184,statements correctly describes solid substance,b,atoms loosely connected slide past another,atoms closely locked position regular pattern vibrate,atoms free move independently collide very frequently,atoms lost electrons detached negative free move around
101185,scuba divers will often weights relative buoyancy if diver weight equal buoyant force,c,sink down,float up,remain suspended,get vertigo because equilibrium
101186,scientists announced news conference they had discovered way converting energy low nuclear reaction cold fusion presented nothing but diagram apparatus built chart results why were many skeptical findings,d,results difficult interpret chart form,newspapers poor sources scientific information,made announcement news conference,failed share information allow others replicate results
101187,lipid bilayer allows certain molecules pass through blocks structure often protected,a,cell,organ,tissue,system
101188,metal atoms form ions,a,loss electrons,loss protons,gain electrons,gain protons
101189,property mineral evident if,b,breaks easily struck hammer,bubbles acid placed,easily scratched fingernail,reflects surface
101190,ball cart moving rate m s suddenly stops continues travel same direction speed this example,b,law gravity,first law motion,second law motion,third law motion
101191,heart blood vessels kidneys bladder working together described,d,cell,tissue,organism,system
101192,atmospheric greenhouse gases help heat atmosphere,c,increasing solar radiation reaching,storing produced human activity,absorbing infrared radiation released,increasing average density air
101193,populations black rhinoceroses been impacted human interactions point being endangered interaction explains why rhino now,a,over hunting,pollution,airborne diseases,increased deforestation
101194,atomic number atom tells,c,atoms reaction,electrons atom,protons atom,atomic atom
101195,statements true regarding exothermic reaction,b,reaction absorbs environment complete,reaction releases environment complete,reaction commonly gets cooler occurs,reaction storing bonds compounds being released complete
101196,some fungi both sexual asexual methods reproduction offspring born,b,larger size offspring born asexual reproduction,greater variation offspring born asexual reproduction,less variation offspring born asexual reproduction,smaller size offspring born asexual reproduction
101197,an engineer must calculate potential energy roller coaster car top incline information help determine,b,distance roller coaster car must travel,roller coaster car full capacity,average weight empty roller coaster car,direction roller coaster car traveling
101198,contain fossil seashells,d,basalt,gneiss,granite,limestone
101199,psychrometer measure,a,humidity,atmospheric pressure,temperature,wind speed
101200,activity example,c,sugar dissolving,evaporating air,lighting match,freezing
101201,large solid spherical body solar classified moon characteristic gives classification,c,rotates axis,lacks liquid,orbits nearby planet,reflects star
101202,who studied global climate changes average has risen there also been accumulation atmospheric greenhouse gases goal scientific community collecting type data,a,understand greenhouse gases related global warming,decrease using fossil fuels,public attitude using natural resources,ice arctic
101203,producer removed chain,a,impacts entire chain,impacts next step chain,impacts next steps chain,little effect producers take place
101204,students planned investigation included adding quantity vinegar small baking soda tool measure volume liquid,d,pan balance,spring scale,meter stick,graduated cylinder
101205,elements considered six common living,d,sulfur,nitrogen,phosphorus,helium
101206,largest depository,a,lithosphere,asthenosphere,outer core,inner core
101207,trend periodic table nonmetals,b,left,right,bottom,scattered throughout entire table
101208,tectonic plates pushing toward cause intense heat pressure crust material changed,d,fossils,sediments,igneous,metamorphic
101209,correctly identifies power changes atmosphere,c,powered geothermal releases nitrogen oxides,powered nuclear releases sulfur dioxide,powered natural gas releases dioxide,powered coal releases oxygen
101210,describes neutron,c,negative charge,moves around nucleus,adds nucleus,positive charge
101211,repeating monomer dna molecule,c,triglyceride,dipeptide,nucleotide,phospholipid
101212,the eight known planets accreted during formation our solar system four inner rocky little no atmospheres outer very thick fact about early helps explain planet types formed,c,outer planets were too far solar pressure maintain compressed gases,outer planets absorbed gases large number moons,near too great gases condense inner planets,gravitational forces outer planets pulled away gases inner
101213,describes asexual reproduction,c,meiosis fruit fly,fertilization chicken egg,binary fission amoeba,embryo development mouse
101214,reason sinkhole form,a,removal underground resources,collision tectonic plates,dense formations under topsoil,buildup sediment ocean floor
101215,sandy keith plan move kilogram block if they wanted calculate mechanical required units report answer,a,joules,kilowatts,kilometers,volts
101216,teams participating tug war pulling side rope force motion,b,speed but direction,not,alternate moving right left,direction but speed
101217,burning fossil fuels caused decline quality air people breathe,a,adding particle pollution,creating hole ozone layer,causing acid precipitation fall,increasing levels dioxide
101218,seen living,d,squeezing juice out orange,perspiration humans,saliva dogs,above
101219,why some dehydrated astronauts eat space,b,make less messy eat,preserve extended flights,nutritional content,keep floating off plate
101220,cell walls provide cells rigid outer structure instead wall animal rely structures shape support,d,plasma membrane,nuclear membrane,cellulose,cytoskeleton
101221,current structure solar implies conclusion about history,a,nebular cloud flattened before planetary formation,planetary temperatures were much uniform until recently,matter began revolve around center after planetary formation,nuclear fusion much widespread before planetary formation
101222,sediment sorting occur larger carried flowing left area smaller further another characteristic step cycle,c,weathering,transportation,deposition,lithification
101223,similarity elements first group periodic table,d,elements group similar atomic masses,elements group number electrons,elements group very unreactive metals,elements group react oxygen similar ways
101224,characteristics describe shield volcano,a,voluminous lava flow creating gentle slopes,voluminous lava flow creating steep slopes,violent eruption creating steep slopes,violent eruption creating flat plains
101225,work scientist serves basis many procedures agriculture such selective breeding,b,darwin,mendel,einstein,pasteur
101226,until recently grand canyon thought about million years old scientist gathered data wrote paper scientific journal indicated before information accepted needs occur,d,scientist needs publish additional papers,scientist needs obtain government support,need state beliefs,many need evaluate data
101227,statements article fitness magazine opinion,c,exercise increases muscle,regular exercise reduces resting heart rate,people should exercise because makes them feel better,those who exercise regularly life span
101228,dna,d,chloroplast,ribosome,vacuole,nucleus
101229,boat acted on river current flowing north wind blowing sails travels northeast direction applying force,b,west,east,north,south
101230,who studied hydrosphere concluded about covered part often associated formation organic rocks,b,lakes,oceans,ponds,rivers
101231,secondary succession reestablishes previously colonized but disturbed damaged habitat result colonization large herbivores carnivores,a,saplings trees,grasses shrubs,lichens mosses,seedlings bushes
101232,supports protects internal organs makes blood,d,muscular,circulatory,nervous,skeletal
101233,over several years scientist successfully isolates species flower white color this year new generation flowers blooms yellow population reason appearance within,c,adaptation,replication,genetic mutation,homologous recombination
101234,population marine turtles dropped due many factors human action responsible decline,d,increased laws limit turtles caught year,increased levels pollution air cause turtles suffocate,increased fisheries help raise turtles safe environments,increased nets catch turtles cause them drown
101235,presence high temperatures during fossil fuel formation results higher percentage product,d,tar,coal,crude oil,natural gas
101236,describes interaction solar functions warm up planet,a,absorption solar continental land masses,solar photosynthesis,reflection solar polar snowcaps,transformation solar auroras
101237,student needs find mass atom numbers atomic particles determines,c,protons,electrons,both protons neutrons,both neutrons electrons
101238,forced nevada mountain ranges upward over past million years,b,erosion surrounding material,seismic activity along fault lines,multiple volcanic eruptions,deposition wind blown sediments
101239,geological processes led finches galapagos islands,b,volcanic eruptions caused extinction some finch populations,separating finch populations islands so could interbreed,connecting finch populations so could interbreed,causing finch fossils form layers sedimentary
101240,order optical telescope create image great distance away must collect much possible,a,light,star image,planet image,heat
101241,many living cells take functions example some become heart brain kind called,c,migration,morphology,differentiation,division
101242,when lighted half moon faces dark earth phase viewed called,b,full moon,moon,waxing moon,waning moon
101243,reproductive produced female organs called,b,sperm,eggs,testes,ovaries
101244,living things smaller substances linked make up larger correctly describes substance made linking,a,nucleotides linked make up dna,amino acids linked make up dna,proteins linked make up nucleotides,nucleic acids linked make up proteins
101245,smiths save vegetable garbage add compost heap waste decomposes fertilizer garden describes composting saves resources,d,compost heap gets nutrients garden,commercial fertilizer nutrients go compost,decomposers help vegetables recycle themselves,nutrients leftover food reused grow
101246,student wants find relationship diameter several plastic disks circumference disk types graphs should constructed determine,b,pie graph,line graph,scatterplot,box whisker plot
101247,light travels differently passes through substances substance called,a,medium,transparency,density,focal point
101248,vaccinations diseases humans,c,cure,cause,prevent,increase
101249,evidence substances made types matter,a,substances reactions,substances temperatures,substances volumes,substances shapes
101250,you make observation hear crickets more often summer do winter based information following hypothesis:crickets chirp higheryou then design experiment where take groups three count chirps over hour period cricket placements properly test your hypothesis,b,placing group dark room kept degrees second lighted,placing group lighted room kept degrees second,placing group room kept degrees morning same night,above
101251,structures often attached surface endoplasmic reticulum,a,ribosomes,vesicles,nuclei,golgi apparatus
101252,control center recognition analysis hunger thirst,d,cerebral cortex,thalamus,cerebrum,hypothalamus
101253,scientist south america been observing behavior parrots living rain forest later year united states traveling study parrot considered ethical practice part american,c,offering sell notes observations us scientist,changing notes observations giving them us scientist,sharing records past investigations assisting future,discarding previous studies restarting us scientist investigations
101254,condition must fulfilled order virus reproduce,d,virus must completed internal replication dna,virus must absorbed living,virus must store surplus trna amino acids,virus must taken over protein production resources
101255,fact about example property,c,expands freezes,boiling point ° c,separate hydrogen oxygen,density greater ice
101256,methods resource acquisition least effect lithosphere,c,surface mining uranium,pumping oil under,harvesting wood selective cutting,collecting natural gas old oil wells
101257,fossil record can study lived if containing fossils being studied without surrounding layers determined studying layer,a,lived together during period,length lived before becoming extinct,development over based fossil remains,climate period another
101258,water moves capillary action through moist areas dry property responsible,c,polar molecule,contains oxygen atom,high surface tension,high specific heat
101259,type reaction occurs breaks down fats sugars supply,b,endothermic,exothermic,electrical,physical
101260,describes location where minerals form,a,cooled magma volcano,eroded sediment riverbed,weathered canyon,saturated floodplain
101261,leaf structure photosynthetic tissue,c,cuticle,upper epidermis,mesophyll,vascular bundle
101262,researcher explaining scientific concepts behind investigation diabetes treatment before she talks about hypothesis her experiment must explain,b,conclusion experiment,question problem solved,observational data,experimental procedure
101263,massive stars generally shorter lifetimes less because,d,older,formed earlier smaller stars,stronger gravitational pull,fuel much faster less massive stars do
101264,greatest diversity among type organism,c,plants,animals,bacteria,fungi
101265,students performing experiment measures changes heart rate over minute period jogging after decide organize display data graph y axis dependent variable should correctly labeled,a,heart rate average beats minute,seconds,jogger name last first,jogging speed miles per hour
101266,name chemicals you mix together before reaction occur,c,products,enzymes,reactants,energy
101267,statements regarding genes correct,d,gene carry information multiple traits,individual gets copies any given gene,some instances multiple genes work together form single trait,above correct
101268,compound contain individual molecules,a,salt,water,hydrogen gas,monoxide
101269,source data about nevada resources current reliable,c,science encyclopedia,article local newspaper,government maintained website,student classroom presentation
101270,fossils been antarctica show tropical had once grown continent could possible,a,antarctica once closer equator,once completely covered rain forest,rotation has increased speed cooled off portions planet,volcanic eruptions across globe melted ice exposed areas usually covered
101271,collecting samples sediment deposits biscayne bay test results show salinity increasing human influence might led environmental,d,establishing bay national park,finding sunken ships resting floor bay,collecting marine animals bottom bay,developing power along shoreline bay
101272,over geologic global mean sea level varied significantly responsible,d,erosion sediment mountain range,extinction marine,formation ocean trench,melting polar ice caps
101273,processes conversion made solar panels,d,mechanical energy nuclear,thermal energy,kinetic energy potential,radiant energy electrical
101274,radio astronomers arno penzias robert wilson discovered microwave signal during research microwaves were uniform coming directions sky phenomenon known cosmic background cmb provided evidence universe once very hot densehow did contribute perception big bang,a,cmb confirmed matter expanded during big bang,cmb magnetic field supported big bang theory,cmb reflection thermal generated during big bang,cmb represented trails moving matter stated big bang theory
101275,unit record distances stars,c,miles,kilometers,years,astronomical units
101276,approximately many times moon revolve around earth during revolution,b,1,12,28,365
101277,many times scuba divers weights relative buoyancy if diver weight less buoyant force,b,sink down,float up,suspended,die due pressure
101278,important element life molecules living,d,all,small inorganic,large organic,both large organic small inorganic
101279,illness associated weakened immune,b,tetanus,cancer,measles,rabies
101280,always produce magnetic field,c,bar steel,bar aluminum,electric current,electric charge
101281,reason why scientific theories,d,public opinions,retiring replaced,money spent science,make observations
101282,protein acts harden strengthen near surface skin,b,melanin,keratin,dermis,epidermis
101283,organ responsible exchange oxygen dioxide environment,d,circulatory,excretory,immune,respiratory
101284,if kindergartener sitting swing attached chains set forces describe why child motionless falling toward,d,tension force child compression within chains,gravity compression force within chains,tension force chains compression legs swing set,tension force chains gravity
101285,order sediments become generally,c,mixed organic material,returned origins,compacted,liquefied
101286,characteristic asthenosphere helps explain evidence crustal plate motion,b,magnetic properties,semiliquid physical state,ability deflect solar winds,ability absorb heat
101287,ship sank atlantic ocean near cape town south africa spilled tons oil impact spill ecosystem,c,ocean benefit obtaining nutrients oil,predators due many animals being killed oil,sea birds harmed oil feathers,bottom dwelling shellfish affected
101288,hard hat protect student during type investigation,b,field trip museum geology,field investigation layers hillside,laboratory demonstration hardness minerals,laboratory investigation identification fossils
101289,universities across country come up voluntary oaths science students an example oath i pledge take account social consequences any experiments consider reason colleges developing because,a,need aware ethical concerns,science involves investigation many topics,students coming out college live competitive world,students must know science important career choice
101290,organism unicellular,b,virus,amoeba,mushroom,ant
101291,according fossil record first horses were smaller modern throughout gradually changed,c,become better hunters,order re populate,response altering environment,become useful humans
101292,basis modern theory evolution proposed,d,francis crick,robert hooke,carl linnaeus,charles darwin
101293,there several different types rock type formed under conditions sedimentary rocks such shale sandstone,c,particles heated,particles melted together magma,particles compressed layers,particles changed liquids
101294,describes,c,star made up rocky material,star size stars sky,star center our solar,planet center our solar
101295,light sometimes behaves waves times particles property equally explainable treating either,b,interference,reflection,diffraction,polarization
101296,definition heredity,d,transfer learning generation next,transfer visible features generation next,passage dominant genes generation next,passage genetic information generation next
101297,student describes substance lacking definite shape description also states particles matter close each other but still able flow past type describing,b,solid,liquid,mixture,compound
101298,when javier exercises his muscle cells need more oxygen help receive,c,decreasing his respiration rate,increasing his perspiration rate,increasing rate his heart beats,decreasing rate his blood flow
101299,generated students count record number pond,a,data,variables,hypothesis,conclusion
101300,human activity help decrease air pollution,b,burning crops,driving hybrid car,burning household garbage,using coal produce
101301,stimulus causes porcupine extend quills,c,lunar effect,seasonal changes,threatening behavior predators,environmental encroachment humans
101302,when animals always produced,b,sugar,heat,oxygen,starch
